encounter_id,boss_name,zone_name,difficulty,difficulty_label,total_wipes,avg_boss_pct,pct_wipes_phase_1,pct_wipes_phase_2,pct_wipes_phase_3_plus,wipes_lt_1min,wipes_1_3min,wipes_3_5min,wipes_5plus_min,last_week_avg_boss_pct,progress_trend
2680,"Rashok, the Elder","Aberrus, the Shadowed Crucible",3,Normal,1,5.6,100.0,0.0,0.0,0,0,1,0,5.6,0.0
2682,Assault of the Zaqali,"Aberrus, the Shadowed Crucible",3,Normal,1,21.6,0.0,100.0,0.0,0,0,1,0,21.6,0.0
2683,Magmorax,"Aberrus, the Shadowed Crucible",3,Normal,2,99.6,100.0,0.0,0.0,2,0,0,0,99.6,0.0
2684,Echo of Neltharion,"Aberrus, the Shadowed Crucible",3,Normal,4,47.5,50.0,25.0,25.0,0,2,2,0,69.4,21.82
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",3,Normal,21,36.1,14.3,14.3,71.4,2,3,7,9,99.9,63.78
2680,"Rashok, the Elder","Aberrus, the Shadowed Crucible",4,Heroic,2,57.6,100.0,0.0,0.0,0,2,0,0,48.1,-9.5
2682,Assault of the Zaqali,"Aberrus, the Shadowed Crucible",4,Heroic,1,29.8,100.0,0.0,0.0,0,1,0,0,29.8,0.0
2683,Magmorax,"Aberrus, the Shadowed Crucible",4,Heroic,1,41.9,100.0,0.0,0.0,0,1,0,0,41.9,0.0
2684,Echo of Neltharion,"Aberrus, the Shadowed Crucible",4,Heroic,14,41.1,28.6,50.0,21.4,1,3,7,3,34.5,-6.7
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",4,Heroic,20,43.5,10.0,30.0,60.0,1,6,6,7,36.1,-7.43
2687,The Amalgamation Chamber,"Aberrus, the Shadowed Crucible",4,Heroic,18,42.9,50.0,50.0,0.0,0,12,4,2,49.6,6.7
2688,"Kazzara, the Hellforged","Aberrus, the Shadowed Crucible",4,Heroic,2,12.4,100.0,0.0,0.0,0,0,1,1,12.4,0.0
2689,"The Vigilant Steward, Zskarn","Aberrus, the Shadowed Crucible",4,Heroic,4,11.5,100.0,0.0,0.0,0,0,2,2,11.5,0.0
2693,The Forgotten Experiments,"Aberrus, the Shadowed Crucible",4,Heroic,1,55.4,0.0,0.0,100.0,0,0,1,0,55.4,0.0
2680,"Rashok, the Elder","Aberrus, the Shadowed Crucible",5,Mythic,179,48.6,89.9,10.1,0.0,8,58,77,36,65.2,16.61
2682,Assault of the Zaqali,"Aberrus, the Shadowed Crucible",5,Mythic,5,18.7,20.0,80.0,0.0,0,0,1,4,19.2,0.54
2683,Magmorax,"Aberrus, the Shadowed Crucible",5,Mythic,14,37.8,100.0,0.0,0.0,1,4,5,4,37.8,0.0
2684,Echo of Neltharion,"Aberrus, the Shadowed Crucible",5,Mythic,215,51.4,40.5,40.0,19.5,17,69,52,77,48.0,-3.33
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",5,Mythic,485,56.9,13.4,45.8,40.8,22,173,194,96,47.9,-8.99
2687,The Amalgamation Chamber,"Aberrus, the Shadowed Crucible",5,Mythic,24,48.9,50.0,50.0,0.0,0,15,6,3,43.8,-5.13
2688,"Kazzara, the Hellforged","Aberrus, the Shadowed Crucible",5,Mythic,19,39.1,100.0,0.0,0.0,0,3,15,1,54.3,15.25
2689,"The Vigilant Steward, Zskarn","Aberrus, the Shadowed Crucible",5,Mythic,42,43.7,100.0,0.0,0.0,0,16,24,2,32.1,-11.63
2693,The Forgotten Experiments,"Aberrus, the Shadowed Crucible",5,Mythic,61,28.9,0.0,11.5,88.5,0,13,39,9,30.4,1.44
2677,Fyrakk the Blazing,"Amirdrassil, the Dream's Hope",3,Normal,4,61.8,50.0,50.0,0.0,0,2,2,0,69.9,8.14
2731,"Larodar, Keeper of the Flame","Amirdrassil, the Dream's Hope",3,Normal,1,52.2,100.0,0.0,0.0,0,1,0,0,52.2,0.0
2737,Volcoross,"Amirdrassil, the Dream's Hope",3,Normal,3,99.9,100.0,0.0,0.0,3,0,0,0,99.7,-0.18
2786,"Tindral Sageswift, Seer of the Flame","Amirdrassil, the Dream's Hope",3,Normal,1,4.3,0.0,0.0,100.0,0,0,0,1,4.3,0.0
2677,Fyrakk the Blazing,"Amirdrassil, the Dream's Hope",4,Heroic,36,48.1,36.1,25.0,38.9,1,14,4,17,25.4,-22.69
2708,"Nymue, Weaver of the Cycle","Amirdrassil, the Dream's Hope",4,Heroic,7,40.4,28.6,71.4,0.0,0,3,2,2,26.6,-13.82
2709,Igira the Cruel,"Amirdrassil, the Dream's Hope",4,Heroic,1,22.6,100.0,0.0,0.0,0,0,1,0,22.6,0.0
2728,Council of Dreams,"Amirdrassil, the Dream's Hope",4,Heroic,5,52.8,100.0,0.0,0.0,1,3,1,0,56.4,3.6
2731,"Larodar, Keeper of the Flame","Amirdrassil, the Dream's Hope",4,Heroic,17,40.3,58.8,41.2,0.0,0,6,6,5,43.9,3.67
2737,Volcoross,"Amirdrassil, the Dream's Hope",4,Heroic,6,32.5,100.0,0.0,0.0,1,2,3,0,36.8,4.22
2786,"Tindral Sageswift, Seer of the Flame","Amirdrassil, the Dream's Hope",4,Heroic,17,47.5,47.1,29.4,23.5,0,7,6,4,0.1,-47.43
2820,Gnarlroot,"Amirdrassil, the Dream's Hope",4,Heroic,1,20.7,100.0,0.0,0.0,0,0,1,0,20.7,0.0
2824,Smolderon,"Amirdrassil, the Dream's Hope",4,Heroic,47,46.1,55.3,44.7,0.0,1,16,24,6,10.4,-35.75
2708,"Nymue, Weaver of the Cycle","Amirdrassil, the Dream's Hope",5,Mythic,62,44.9,29.0,71.0,0.0,1,17,26,18,33.1,-11.74
2709,Igira the Cruel,"Amirdrassil, the Dream's Hope",5,Mythic,27,48.3,100.0,0.0,0.0,1,16,6,4,34.5,-13.81
2728,Council of Dreams,"Amirdrassil, the Dream's Hope",5,Mythic,41,52.6,100.0,0.0,0.0,1,23,12,5,63.4,10.83
2731,"Larodar, Keeper of the Flame","Amirdrassil, the Dream's Hope",5,Mythic,47,41.4,70.2,29.8,0.0,0,8,28,11,24.6,-16.81
2737,Volcoross,"Amirdrassil, the Dream's Hope",5,Mythic,7,36.6,100.0,0.0,0.0,0,4,3,0,68.0,31.39
2786,"Tindral Sageswift, Seer of the Flame","Amirdrassil, the Dream's Hope",5,Mythic,2,97.3,100.0,0.0,0.0,2,0,0,0,97.3,0.0
2820,Gnarlroot,"Amirdrassil, the Dream's Hope",5,Mythic,3,64.5,33.3,66.7,0.0,1,1,1,0,99.8,35.36
2824,Smolderon,"Amirdrassil, the Dream's Hope",5,Mythic,260,62.2,60.4,39.6,0.0,14,127,87,32,51.6,-10.58
2399,Sludgefist,Castle Nathria,3,Normal,2,17.6,100.0,0.0,0.0,0,1,1,0,33.8,16.19
2406,Lady Inerva Darkvein,Castle Nathria,3,Normal,2,68.6,100.0,0.0,0.0,0,1,1,0,68.6,0.0
2407,Sire Denathrius,Castle Nathria,3,Normal,3,51.5,33.3,33.3,33.3,0,1,0,2,38.7,-12.81
2412,The Council of Blood,Castle Nathria,3,Normal,1,99.4,100.0,0.0,0.0,1,0,0,0,99.4,0.0
2383,Hungering Destroyer,Castle Nathria,4,Heroic,12,33.7,100.0,0.0,0.0,0,3,6,3,13.5,-20.17
2398,Shriekwing,Castle Nathria,4,Heroic,4,97.0,100.0,0.0,0.0,3,1,0,0,99.8,2.72
2399,Sludgefist,Castle Nathria,4,Heroic,13,45.0,100.0,0.0,0.0,1,2,6,4,29.5,-15.47
2402,Sun King's Salvation,Castle Nathria,4,Heroic,7,64.8,100.0,0.0,0.0,0,1,2,4,90.0,25.21
2405,Artificer Xy'mox,Castle Nathria,4,Heroic,19,29.1,0.0,42.1,57.9,0,5,9,5,37.4,8.36
2406,Lady Inerva Darkvein,Castle Nathria,4,Heroic,21,25.3,100.0,0.0,0.0,0,4,16,1,12.4,-12.92
2407,Sire Denathrius,Castle Nathria,4,Heroic,72,35.6,16.7,16.7,66.7,3,15,12,42,46.8,11.12
2412,The Council of Blood,Castle Nathria,4,Heroic,3,89.2,66.7,0.0,33.3,2,0,0,1,68.0,-21.2
2417,Stone Legion Generals,Castle Nathria,4,Heroic,11,54.4,36.4,45.5,18.2,0,3,3,5,61.8,7.38
2418,Huntsman Altimor,Castle Nathria,4,Heroic,36,35.7,2.8,38.9,58.3,1,25,10,0,35.6,-0.09
2383,Hungering Destroyer,Castle Nathria,5,Mythic,44,57.5,100.0,0.0,0.0,1,14,24,5,39.6,-17.89
2398,Shriekwing,Castle Nathria,5,Mythic,2,6.4,100.0,0.0,0.0,0,0,0,2,6.4,0.0
2402,Sun King's Salvation,Castle Nathria,5,Mythic,44,56.7,100.0,0.0,0.0,1,31,10,2,60.3,3.6
2405,Artificer Xy'mox,Castle Nathria,5,Mythic,124,45.2,1.6,23.4,75.0,0,42,70,12,53.3,8.12
2406,Lady Inerva Darkvein,Castle Nathria,5,Mythic,121,36.6,100.0,0.0,0.0,1,43,56,21,31.9,-4.73
2412,The Council of Blood,Castle Nathria,5,Mythic,29,49.9,51.7,48.3,0.0,0,10,16,3,58.6,8.7
2418,Huntsman Altimor,Castle Nathria,5,Mythic,28,31.9,3.6,53.6,42.9,0,13,10,5,34.9,2.91
3009,Vexie and the Geargrinders,Liberation of Undermine,3,Normal,1,100.0,100.0,0.0,0.0,1,0,0,0,100.0,0.0
3011,Rik Reverb,Liberation of Undermine,3,Normal,3,27.6,66.7,33.3,0.0,0,1,2,0,27.6,0.0
3012,Stix Bunkjunker,Liberation of Undermine,3,Normal,3,41.8,100.0,0.0,0.0,1,0,1,1,41.8,0.0
3013,Sprocketmonger Lockenstock,Liberation of Undermine,3,Normal,1,3.0,100.0,0.0,0.0,0,0,0,1,3.0,0.0
3014,One-Armed Bandit,Liberation of Undermine,3,Normal,2,51.2,50.0,50.0,0.0,0,1,0,1,3.5,-47.65
3015,"Mug'Zee, Heads of Security",Liberation of Undermine,3,Normal,5,60.9,80.0,0.0,20.0,1,3,0,1,80.6,19.64
3016,Chrome King Gallywix,Liberation of Undermine,3,Normal,5,71.8,100.0,0.0,0.0,2,2,1,0,53.3,-18.47
3009,Vexie and the Geargrinders,Liberation of Undermine,4,Heroic,2,84.5,100.0,0.0,0.0,1,1,0,0,100.0,15.49
3010,Cauldron of Carnage,Liberation of Undermine,4,Heroic,7,60.2,100.0,0.0,0.0,2,1,3,1,100.0,39.76
3011,Rik Reverb,Liberation of Undermine,4,Heroic,7,27.0,42.9,57.1,0.0,0,2,4,1,19.2,-7.83
3012,Stix Bunkjunker,Liberation of Undermine,4,Heroic,15,47.8,100.0,0.0,0.0,3,1,9,2,62.3,14.54
3013,Sprocketmonger Lockenstock,Liberation of Undermine,4,Heroic,5,56.3,100.0,0.0,0.0,1,1,3,0,15.0,-41.3
3014,One-Armed Bandit,Liberation of Undermine,4,Heroic,17,60.9,94.1,5.9,0.0,1,10,5,1,51.8,-9.06
3015,"Mug'Zee, Heads of Security",Liberation of Undermine,4,Heroic,24,29.8,29.2,0.0,70.8,0,6,6,12,14.5,-15.34
3016,Chrome King Gallywix,Liberation of Undermine,4,Heroic,65,61.5,46.2,40.0,13.8,5,37,10,13,49.3,-12.17
3009,Vexie and the Geargrinders,Liberation of Undermine,5,Mythic,9,32.6,100.0,0.0,0.0,0,2,0,7,7.1,-25.47
3010,Cauldron of Carnage,Liberation of Undermine,5,Mythic,28,48.4,78.6,21.4,0.0,0,10,10,8,32.1,-16.26
3011,Rik Reverb,Liberation of Undermine,5,Mythic,51,44.6,56.9,43.1,0.0,0,26,19,6,26.1,-18.54
3012,Stix Bunkjunker,Liberation of Undermine,5,Mythic,107,51.2,100.0,0.0,0.0,3,42,49,13,43.3,-7.95
3013,Sprocketmonger Lockenstock,Liberation of Undermine,5,Mythic,161,63.7,95.0,5.0,0.0,27,91,42,1,47.5,-16.16
3014,One-Armed Bandit,Liberation of Undermine,5,Mythic,85,64.6,92.9,7.1,0.0,0,63,16,6,49.5,-15.06
3015,"Mug'Zee, Heads of Security",Liberation of Undermine,5,Mythic,200,49.8,68.5,3.0,28.5,19,86,74,21,45.1,-4.75
3016,Chrome King Gallywix,Liberation of Undermine,5,Mythic,115,72.0,99.1,0.9,0.0,9,75,22,9,69.9,-2.06
3129,Plexus Sentinel,Manaforge Omega,3,Normal,1,77.6,100.0,0.0,0.0,1,0,0,0,77.6,0.0
3132,Forgeweaver Araz,Manaforge Omega,3,Normal,1,6.4,0.0,100.0,0.0,0,0,1,0,6.4,0.0
3133,Fractillus,Manaforge Omega,3,Normal,3,24.8,100.0,0.0,0.0,0,1,1,1,16.2,-8.58
3135,"Dimensius, the All-Devouring",Manaforge Omega,3,Normal,8,61.2,75.0,12.5,12.5,3,3,1,1,34.7,-26.51
3122,The Soul Hunters,Manaforge Omega,4,Heroic,2,57.6,100.0,0.0,0.0,0,1,1,0,47.5,-10.07
3131,Loom'ithar,Manaforge Omega,4,Heroic,1,70.8,100.0,0.0,0.0,0,1,0,0,70.8,0.0
3132,Forgeweaver Araz,Manaforge Omega,4,Heroic,9,30.7,22.2,77.8,0.0,0,1,0,8,31.0,0.29
3133,Fractillus,Manaforge Omega,4,Heroic,6,24.7,100.0,0.0,0.0,0,1,4,1,15.5,-9.23
3134,Nexus-King Salhadaar,Manaforge Omega,4,Heroic,18,40.7,38.9,27.8,33.3,2,3,7,6,37.2,-3.48
3135,"Dimensius, the All-Devouring",Manaforge Omega,4,Heroic,17,43.8,52.9,35.3,11.8,1,8,3,5,37.6,-6.15
2902,Ulgrax the Devourer,Manaforge Omega,5,Mythic,1,98.6,100.0,0.0,0.0,1,0,0,0,98.6,0.0
2921,The Silken Court,Manaforge Omega,5,Mythic,1,60.0,100.0,0.0,0.0,0,1,0,0,60.0,0.0
2922,Queen Ansurek,Manaforge Omega,5,Mythic,3,24.2,0.0,66.7,33.3,0,2,1,0,24.2,0.0
3016,Chrome King Gallywix,Manaforge Omega,5,Mythic,1,69.9,100.0,0.0,0.0,0,1,0,0,69.9,0.0
3122,The Soul Hunters,Manaforge Omega,5,Mythic,81,63.5,100.0,0.0,0.0,2,60,14,5,59.7,-3.76
3129,Plexus Sentinel,Manaforge Omega,5,Mythic,17,56.1,41.2,58.8,0.0,1,8,6,2,32.0,-24.09
