encounter_id,boss_name,zone_id,zone_name,difficulty,difficulty_label,total_pulls,total_kills,total_wipes,best_kill_seconds,avg_pull_duration_seconds,is_killed,first_kill_date,last_attempt_date,wipe_to_kill_ratio
2590,The Primal Council,31,Vault of the Incarnates,3,Normal,6,6,0,149,207.33333333333334,true,2022-12-14,2024-04-29,0.0
2433,The Eye of the Jailer,28,Sanctum of Domination,4,Heroic,21,14,7,218,274.6666666666667,true,2021-07-12,2022-08-31,0.5
2587,Eranog,31,Vault of the Incarnates,3,Normal,6,6,0,121,165.5,true,2022-12-14,2024-04-29,0.0
2731,"Larodar, Keeper of the Flame",35,"Amirdrassil, the Dream's Hope",3,Normal,5,4,1,127,159.4,true,2023-11-15,2024-05-08,0.25
2684,Echo of Neltharion,33,"Aberrus, the Shadowed Crucible",3,Normal,10,6,4,175,238.4,true,2023-05-10,2024-05-01,0.67
3134,Nexus-King Salhadaar,44,Manaforge Omega,3,Normal,3,3,0,127,173.66666666666666,true,2025-08-13,2025-11-23,0.0
2824,Smolderon,31,Vault of the Incarnates,4,Heroic,1,1,0,190,190.0,true,2024-08-19,2024-08-19,0.0
2682,Assault of the Zaqali,33,"Aberrus, the Shadowed Crucible",3,Normal,7,6,1,39,147.71428571428572,true,2023-05-10,2024-05-01,0.17
3182,"Belo'ren, Child of Al'ar",46,VS / DR / MQD,4,Heroic,14,1,13,223,174.5,true,2026-04-08,2026-04-08,13.0
1094,Malygos,26,Castle Nathria,3,Normal,1,1,0,87,87.0,true,2021-03-25,2021-03-25,0.0
2436,Guardian of the First Ones,28,Sanctum of Domination,4,Heroic,51,11,40,213,201.62745098039215,true,2021-07-19,2022-08-31,3.64
2614,Broodkeeper Diurna,31,Vault of the Incarnates,5,Mythic,98,2,96,503,226.3877551020408,true,2023-03-13,2023-04-19,48.0
3134,Nexus-King Salhadaar,44,Manaforge Omega,5,Mythic,368,3,365,183,155.33967391304347,true,2025-11-05,2026-01-26,121.67
2689,"The Vigilant Steward, Zskarn",31,Vault of the Incarnates,4,Heroic,1,1,0,112,112.0,true,2024-08-19,2024-08-19,0.0
3132,Forgeweaver Araz,44,Manaforge Omega,3,Normal,4,3,1,127,198.5,true,2025-08-13,2025-11-23,0.33
2607,Raszageth the Storm-Eater,31,Vault of the Incarnates,3,Normal,19,5,14,453,387.42105263157896,true,2022-12-19,2024-04-29,2.8
3010,Cauldron of Carnage,42,Liberation of Undermine,4,Heroic,19,12,7,153,227.57894736842104,true,2025-03-10,2025-07-30,0.58
2682,Assault of the Zaqali,33,"Aberrus, the Shadowed Crucible",5,Mythic,14,9,5,260,294.42857142857144,true,2023-05-31,2024-05-06,0.56
2918,Rasha'nan,38,Nerub-ar Palace,3,Normal,20,14,6,121,121.8,true,2024-09-11,2024-11-03,0.43
2917,The Bloodbound Horror,38,Nerub-ar Palace,4,Heroic,26,15,11,146,231.15384615384616,true,2024-09-16,2025-01-13,0.73
2432,Remnant of Ner'zhul,28,Sanctum of Domination,4,Heroic,37,13,24,162,192.67567567567568,true,2021-07-12,2022-08-31,1.85
2820,Gnarlroot,35,"Amirdrassil, the Dream's Hope",4,Heroic,12,11,1,140,177.66666666666666,true,2023-11-15,2024-06-19,0.09
3178,Vaelgor & Ezzorak,46,VS / DR / MQD,3,Normal,3,2,1,258,352.6666666666667,true,2026-03-18,2026-03-25,0.5
2919,Broodtwister Ovi'nax,38,Nerub-ar Palace,4,Heroic,29,11,18,235,271.9655172413793,true,2024-09-16,2025-01-13,1.64
2429,The Nine,28,Sanctum of Domination,5,Mythic,16,8,8,338,315.4375,true,2021-08-23,2021-09-29,1.0
2546,Anduin Wrynn,29,Sepulcher of the First Ones,4,Heroic,48,7,41,321,237.625,true,2022-03-23,2022-09-12,5.86
3181,Crown of the Cosmos,46,VS / DR / MQD,3,Normal,4,2,2,391,454.0,true,2026-03-18,2026-03-25,1.0
2917,The Bloodbound Horror,38,Nerub-ar Palace,3,Normal,21,14,7,126,140.57142857142858,true,2024-09-11,2024-11-03,0.5
2592,"Sennarth, The Cold Breath",31,Vault of the Incarnates,5,Mythic,61,9,52,376,274.655737704918,true,2023-01-25,2023-04-25,5.78
2405,Artificer Xy'mox,26,Castle Nathria,3,Normal,2,2,0,241,268.0,true,2021-01-31,2021-03-25,0.0
2920,Nexus-Princess Ky'veza,38,Nerub-ar Palace,5,Mythic,234,1,233,362,125.1068376068376,true,2024-12-16,2024-12-16,233.0
2786,"Tindral Sageswift, Seer of the Flame",35,"Amirdrassil, the Dream's Hope",3,Normal,5,4,1,181,266.8,true,2023-11-15,2024-05-08,0.25
3122,The Soul Hunters,44,Manaforge Omega,4,Heroic,11,9,2,264,323.45454545454544,true,2025-08-18,2025-12-01,0.22
2728,Council of Dreams,35,"Amirdrassil, the Dream's Hope",3,Normal,4,4,0,89,140.0,true,2023-11-15,2024-05-08,0.0
2824,Smolderon,35,"Amirdrassil, the Dream's Hope",4,Heroic,60,13,47,185,210.11666666666667,true,2023-11-21,2024-06-19,3.62
3012,Stix Bunkjunker,42,Liberation of Undermine,4,Heroic,25,10,15,235,241.48,true,2025-03-10,2025-07-30,1.5
2398,Shriekwing,26,Castle Nathria,5,Mythic,14,12,2,259,346.14285714285717,true,2021-02-03,2021-03-31,0.17
2418,Huntsman Altimor,26,Castle Nathria,5,Mythic,41,13,28,283,240.17073170731706,true,2021-02-03,2021-04-05,2.15
2422,Kel'Thuzad,28,Sanctum of Domination,5,Mythic,81,2,79,416,174.20987654320987,true,2021-12-08,2022-02-25,39.5
3129,Plexus Sentinel,44,Manaforge Omega,3,Normal,4,3,1,126,185.75,true,2025-08-13,2025-11-23,0.33
2635,"Dathea, Ascended",31,Vault of the Incarnates,3,Normal,10,6,4,132,196.1,true,2022-12-14,2024-04-29,0.67
2431,Fatescribe Roh-Kalo,28,Sanctum of Domination,4,Heroic,40,8,32,360,294.075,true,2021-07-26,2022-08-31,4.0
3133,Fractillus,44,Manaforge Omega,5,Mythic,68,4,64,276,178.48529411764707,true,2025-09-29,2025-10-15,16.0
3135,"Dimensius, the All-Devouring",44,Manaforge Omega,4,Heroic,18,1,17,471,219.55555555555554,true,2025-09-01,2025-09-01,17.0
2737,Volcoross,35,"Amirdrassil, the Dream's Hope",5,Mythic,14,7,7,230,209.64285714285714,true,2023-12-11,2024-05-13,1.0
2688,"Kazzara, the Hellforged",33,"Aberrus, the Shadowed Crucible",3,Normal,6,6,0,117,165.33333333333334,true,2023-05-10,2024-05-01,0.0
2537,The Jailer,29,Sepulcher of the First Ones,4,Heroic,91,3,88,487,215.93406593406593,true,2022-04-25,2022-09-12,29.33
2436,Guardian of the First Ones,28,Sanctum of Domination,3,Normal,11,5,6,205,212.9090909090909,true,2021-08-08,2021-09-02,1.2
2542,"Skolex, the Insatiable Ravener",29,Sepulcher of the First Ones,5,Mythic,23,3,20,298,184.7391304347826,true,2022-04-11,2022-05-11,6.67
3131,Loom'ithar,44,Manaforge Omega,3,Normal,3,3,0,117,144.0,true,2025-08-13,2025-11-23,0.0
2786,"Tindral Sageswift, Seer of the Flame",35,"Amirdrassil, the Dream's Hope",5,Mythic,2,0,2,null,28.0,null,null,2024-03-04,2.0
3129,Plexus Sentinel,44,Manaforge Omega,4,Heroic,7,7,0,147,249.57142857142858,true,2025-08-13,2025-12-01,0.0
2709,Igira the Cruel,35,"Amirdrassil, the Dream's Hope",5,Mythic,34,7,27,285,220.61764705882354,true,2023-12-11,2024-05-13,3.86
2549,Rygelon,29,Sepulcher of the First Ones,4,Heroic,61,6,55,217,129.72131147540983,true,2022-03-28,2022-09-12,9.17
2434,Soulrender Dormazain,28,Sanctum of Domination,3,Normal,6,6,0,183,246.0,true,2021-07-07,2021-09-02,0.0
2737,Volcoross,35,"Amirdrassil, the Dream's Hope",4,Heroic,17,11,6,120,160.7058823529412,true,2023-11-20,2024-06-19,0.55
2432,Remnant of Ner'zhul,28,Sanctum of Domination,3,Normal,7,6,1,162,255.71428571428572,true,2021-07-07,2021-09-02,0.17
2553,Artificer Xy'mox,29,Sepulcher of the First Ones,4,Heroic,16,8,8,182,210.75,true,2022-03-14,2022-09-12,1.0
2709,Igira the Cruel,35,"Amirdrassil, the Dream's Hope",4,Heroic,12,11,1,159,222.83333333333334,true,2023-11-15,2024-06-19,0.09
2383,Hungering Destroyer,26,Castle Nathria,4,Heroic,28,16,12,101,236.28571428571428,true,2021-01-27,2022-09-14,0.75
2708,"Nymue, Weaver of the Cycle",35,"Amirdrassil, the Dream's Hope",5,Mythic,65,3,62,407,240.7846153846154,true,2024-01-08,2024-01-17,20.67
2683,Magmorax,31,Vault of the Incarnates,4,Heroic,1,1,0,124,124.0,true,2024-08-19,2024-08-19,0.0
2820,Gnarlroot,35,"Amirdrassil, the Dream's Hope",3,Normal,4,4,0,86,122.75,true,2023-11-15,2024-05-08,0.0
2919,Broodtwister Ovi'nax,38,Nerub-ar Palace,3,Normal,15,14,1,143,174.46666666666667,true,2024-09-11,2024-11-03,0.07
3122,The Soul Hunters,44,Manaforge Omega,3,Normal,3,3,0,159,200.66666666666666,true,2025-08-13,2025-11-23,0.0
2898,"Sikran, Captain of the Sureki",38,Nerub-ar Palace,5,Mythic,39,8,31,251,185.7948717948718,true,2024-10-14,2024-12-29,3.88
3014,One-Armed Bandit,42,Liberation of Undermine,3,Normal,8,6,2,167,239.875,true,2025-03-05,2025-05-04,0.33
2688,"Kazzara, the Hellforged",33,"Aberrus, the Shadowed Crucible",4,Heroic,16,14,2,116,185.375,true,2023-05-15,2024-06-12,0.14
3009,Vexie and the Geargrinders,44,Manaforge Omega,5,Mythic,1,1,0,107,107.0,true,2026-01-26,2026-01-26,0.0
2921,The Silken Court,38,Nerub-ar Palace,3,Normal,31,13,18,235,224.16129032258064,true,2024-09-11,2024-11-03,1.38
2432,Remnant of Ner'zhul,28,Sanctum of Domination,5,Mythic,68,2,66,339,204.11764705882354,true,2021-09-08,2021-09-29,33.0
2544,Prototype Pantheon,29,Sepulcher of the First Ones,3,Normal,3,3,0,214,238.66666666666666,true,2022-03-06,2022-03-16,0.0
3132,Forgeweaver Araz,44,Manaforge Omega,5,Mythic,112,5,107,333,165.11607142857142,true,2025-09-17,2025-10-15,21.4
2693,The Forgotten Experiments,31,Vault of the Incarnates,4,Heroic,1,1,0,128,128.0,true,2024-08-19,2024-08-19,0.0
3179,Fallen-King Salhadaar,46,VS / DR / MQD,5,Mythic,8,0,8,null,229.875,null,null,2026-04-15,8.0
2902,Ulgrax the Devourer,38,Nerub-ar Palace,4,Heroic,16,15,1,171,258.8125,true,2024-09-11,2025-01-13,0.07
2639,Terros,31,Vault of the Incarnates,3,Normal,6,6,0,170,230.0,true,2022-12-14,2024-04-29,0.0
3014,One-Armed Bandit,42,Liberation of Undermine,4,Heroic,36,19,17,165,199.80555555555554,true,2025-03-17,2025-07-30,0.89
2918,Rasha'nan,38,Nerub-ar Palace,5,Mythic,64,7,57,278,184.609375,true,2024-10-21,2024-12-29,8.14
2383,Hungering Destroyer,26,Castle Nathria,3,Normal,1,1,0,313,313.0,true,2021-01-31,2021-01-31,0.0
2399,Sludgefist,26,Castle Nathria,4,Heroic,30,17,13,131,253.6,true,2021-01-27,2022-09-14,0.76
2683,Magmorax,33,"Aberrus, the Shadowed Crucible",4,Heroic,8,7,1,147,180.75,true,2023-05-15,2024-06-12,0.14
2708,"Nymue, Weaver of the Cycle",31,Vault of the Incarnates,4,Heroic,1,1,0,138,138.0,true,2024-08-19,2024-08-19,0.0
2684,Echo of Neltharion,33,"Aberrus, the Shadowed Crucible",4,Heroic,25,11,14,234,234.6,true,2023-05-17,2024-06-12,1.27
2430,Painsmith Raznal,28,Sanctum of Domination,4,Heroic,44,11,33,267,264.3181818181818,true,2021-07-19,2022-08-31,3.0
2684,Echo of Neltharion,33,"Aberrus, the Shadowed Crucible",5,Mythic,217,2,215,417,237.85253456221199,true,2023-08-16,2023-10-30,107.5
2402,Sun King's Salvation,26,Castle Nathria,3,Normal,1,1,0,315,315.0,true,2021-01-31,2021-01-31,0.0
2902,Ulgrax the Devourer,38,Nerub-ar Palace,3,Normal,15,14,1,88,177.6,true,2024-09-11,2024-11-03,0.07
2587,Eranog,31,Vault of the Incarnates,4,Heroic,12,12,0,78,135.16666666666666,true,2022-12-14,2024-08-19,0.0
2433,The Eye of the Jailer,28,Sanctum of Domination,5,Mythic,39,9,30,387,285.53846153846155,true,2021-08-16,2021-09-29,3.33
2422,Kel'Thuzad,28,Sanctum of Domination,4,Heroic,23,8,15,327,317.6521739130435,true,2021-08-02,2022-08-31,1.88
2921,The Silken Court,38,Nerub-ar Palace,5,Mythic,314,1,313,437,128.93630573248407,true,2025-01-29,2025-01-29,313.0
2406,Lady Inerva Darkvein,26,Castle Nathria,3,Normal,3,1,2,336,223.33333333333334,true,2021-01-31,2021-01-31,2.0
3011,Rik Reverb,42,Liberation of Undermine,3,Normal,9,6,3,169,209.66666666666666,true,2025-03-05,2025-05-04,0.5
2402,Sun King's Salvation,26,Castle Nathria,5,Mythic,48,4,44,295,166.04166666666666,true,2021-03-01,2021-03-31,11.0
2731,"Larodar, Keeper of the Flame",31,Vault of the Incarnates,4,Heroic,1,1,0,154,154.0,true,2024-08-19,2024-08-19,0.0
2708,"Nymue, Weaver of the Cycle",35,"Amirdrassil, the Dream's Hope",4,Heroic,16,9,7,154,207.875,true,2023-11-20,2024-06-19,0.78
2435,Sylvanas Windrunner,28,Sanctum of Domination,5,Mythic,338,1,337,859,322.1242603550296,true,2022-02-22,2022-02-22,337.0
2435,Sylvanas Windrunner,28,Sanctum of Domination,3,Normal,4,4,0,666,747.25,true,2021-08-08,2021-09-02,0.0
2683,Magmorax,33,"Aberrus, the Shadowed Crucible",5,Mythic,15,1,14,330,231.93333333333334,true,2023-07-26,2023-07-26,14.0
2728,Council of Dreams,35,"Amirdrassil, the Dream's Hope",5,Mythic,46,5,41,351,202.82608695652175,true,2023-12-13,2024-05-13,8.2
3130,Soulbinder Naazindhri,44,Manaforge Omega,3,Normal,3,3,0,144,165.66666666666666,true,2025-08-13,2025-11-23,0.0
2688,"Kazzara, the Hellforged",31,Vault of the Incarnates,4,Heroic,1,1,0,95,95.0,true,2024-08-19,2024-08-19,0.0
3180,Lightblinded Vanguard,46,VS / DR / MQD,4,Heroic,4,3,1,246,267.5,true,2026-03-30,2026-04-08,0.33
3016,Chrome King Gallywix,42,Liberation of Undermine,3,Normal,11,6,5,242,226.72727272727272,true,2025-03-05,2025-05-04,0.83
2435,Sylvanas Windrunner,28,Sanctum of Domination,4,Heroic,31,7,24,694,554.1612903225806,true,2021-08-16,2022-08-15,3.43
3131,Loom'ithar,44,Manaforge Omega,5,Mythic,61,7,54,313,233.2622950819672,true,2025-09-08,2025-10-15,7.71
2917,The Bloodbound Horror,38,Nerub-ar Palace,5,Mythic,31,8,23,201,184.0,true,2024-10-14,2024-12-29,2.88
2685,Scalecommander Sarkareth,33,"Aberrus, the Shadowed Crucible",3,Normal,27,6,21,249,292.3333333333333,true,2023-05-15,2024-05-01,3.5
2590,The Primal Council,31,Vault of the Incarnates,4,Heroic,14,9,5,120,185.57142857142858,true,2022-12-19,2024-08-19,0.56
2689,"The Vigilant Steward, Zskarn",33,"Aberrus, the Shadowed Crucible",3,Normal,6,6,0,116,197.83333333333334,true,2023-05-10,2024-05-01,0.0
3015,"Mug'Zee, Heads of Security",42,Liberation of Undermine,4,Heroic,44,20,24,166,253.0681818181818,true,2025-03-17,2025-07-30,1.2
2682,Assault of the Zaqali,31,Vault of the Incarnates,4,Heroic,1,1,0,31,31.0,true,2024-08-19,2024-08-19,0.0
3176,Imperator Averzian,46,VS / DR / MQD,3,Normal,2,2,0,158,187.5,true,2026-03-18,2026-03-25,0.0
2430,Painsmith Raznal,28,Sanctum of Domination,3,Normal,12,5,7,292,288.6666666666667,true,2021-08-08,2021-09-02,1.4
2537,The Jailer,29,Sepulcher of the First Ones,3,Normal,1,1,0,403,403.0,true,2022-03-30,2022-03-30,0.0
3177,Vorasius,46,VS / DR / MQD,4,Heroic,6,4,2,213,253.16666666666666,true,2026-03-23,2026-04-08,0.5
2607,Raszageth the Storm-Eater,31,Vault of the Incarnates,4,Heroic,56,9,47,464,288.17857142857144,true,2023-01-09,2024-08-19,5.22
3013,Sprocketmonger Lockenstock,42,Liberation of Undermine,3,Normal,7,6,1,147,225.14285714285714,true,2025-03-05,2025-05-04,0.17
2407,Sire Denathrius,26,Castle Nathria,3,Normal,8,5,3,390,384.375,true,2021-01-31,2021-03-25,0.6
2918,Rasha'nan,38,Nerub-ar Palace,4,Heroic,21,14,7,158,224.33333333333334,true,2024-09-16,2025-01-13,0.5
2898,"Sikran, Captain of the Sureki",38,Nerub-ar Palace,4,Heroic,18,14,4,123,181.66666666666666,true,2024-09-16,2025-01-13,0.29
2434,Soulrender Dormazain,28,Sanctum of Domination,4,Heroic,22,10,12,220,312.8181818181818,true,2021-07-14,2022-08-31,1.2
3015,"Mug'Zee, Heads of Security",42,Liberation of Undermine,3,Normal,11,6,5,209,207.72727272727272,true,2025-03-05,2025-05-04,0.83
3016,Chrome King Gallywix,44,Manaforge Omega,5,Mythic,2,1,1,172,131.0,true,2026-01-26,2026-01-26,1.0
2922,Queen Ansurek,38,Nerub-ar Palace,3,Normal,27,13,14,238,246.7037037037037,true,2024-09-11,2024-11-03,1.08
2402,Sun King's Salvation,26,Castle Nathria,4,Heroic,18,11,7,181,281.1666666666667,true,2021-01-27,2022-09-14,0.64
2417,Stone Legion Generals,26,Castle Nathria,4,Heroic,33,22,11,259,360.2121212121212,true,2021-01-27,2022-09-14,0.5
2406,Lady Inerva Darkvein,26,Castle Nathria,4,Heroic,34,13,21,107,237.05882352941177,true,2021-01-27,2022-09-14,1.62
2635,"Dathea, Ascended",31,Vault of the Incarnates,5,Mythic,103,3,100,414,191.15533980582524,true,2023-02-20,2023-03-08,33.33
2529,Halondrus the Reclaimer,29,Sepulcher of the First Ones,3,Normal,7,5,2,200,245.0,true,2022-03-06,2022-03-30,0.4
2922,Queen Ansurek,38,Nerub-ar Palace,4,Heroic,146,6,140,361,157.87671232876713,true,2024-10-07,2025-01-13,23.33
2708,"Nymue, Weaver of the Cycle",35,"Amirdrassil, the Dream's Hope",3,Normal,4,4,0,100,132.75,true,2023-11-15,2024-05-08,0.0
2693,The Forgotten Experiments,33,"Aberrus, the Shadowed Crucible",5,Mythic,68,7,61,292,239.85294117647058,true,2023-06-12,2024-05-06,8.71
2553,Artificer Xy'mox,29,Sepulcher of the First Ones,3,Normal,3,3,0,275,288.6666666666667,true,2022-03-06,2022-03-16,0.0
2824,Smolderon,35,"Amirdrassil, the Dream's Hope",5,Mythic,261,1,260,418,189.89655172413794,true,2024-03-04,2024-03-04,260.0
2639,Terros,31,Vault of the Incarnates,5,Mythic,44,11,33,296,247.45454545454547,true,2023-01-16,2023-04-25,3.0
3179,Fallen-King Salhadaar,46,VS / DR / MQD,3,Normal,2,2,0,183,231.5,true,2026-03-18,2026-03-25,0.0
2405,Artificer Xy'mox,26,Castle Nathria,4,Heroic,31,12,19,138,256.4516129032258,true,2021-01-27,2022-09-14,1.58
