encounter_id,boss_name,zone_name,difficulty,difficulty_label,total_wipes,best_wipe_pct,avg_wipe_pct,avg_last_phase,max_phase_reached,avg_wipe_duration_seconds,longest_wipe_seconds,first_wipe_date,latest_wipe_date,raid_nights_attempted,avg_wipe_pct_rounded
2639,Terros,Vault of the Incarnates,5,Mythic,33,4.97,52.43606060606061,0.0,0,215.3030303030303,436,2023-01-09,2023-03-06,7,52.4
3135,"Dimensius, the All-Devouring",Manaforge Omega,4,Heroic,17,2.2,43.7535294117647,1.588235294117647,3,204.76470588235293,459,2025-08-25,2025-09-01,2,43.8
2539,"Lihuvim, Principal Architect",Sepulcher of the First Ones,4,Heroic,17,4.21,49.50235294117647,1.0,1,217.58823529411765,411,2022-03-08,2022-04-27,5,49.5
2922,Queen Ansurek,Nerub-ar Palace,3,Normal,14,12.3,33.63071428571429,1.7857142857142858,3,182.14285714285714,330,2024-09-11,2024-11-03,6,33.6
3011,Rik Reverb,Liberation of Undermine,3,Normal,3,10.96,27.616666666666664,1.3333333333333333,2,195.66666666666666,250,2025-03-05,2025-03-09,2,27.6
2689,"The Vigilant Steward, Zskarn","Aberrus, the Shadowed Crucible",5,Mythic,42,6.82,43.68380952380953,0.0,0,207.04761904761904,342,2023-07-19,2023-07-24,2,43.7
2922,Queen Ansurek,Nerub-ar Palace,5,Mythic,290,11.84,54.92344827586207,1.3482758620689654,3,175.38275862068966,463,2025-01-29,2025-03-03,10,54.9
2529,Halondrus the Reclaimer,Sepulcher of the First Ones,4,Heroic,8,61.89,75.58624999999999,1.375,2,119.875,213,2022-03-14,2022-03-23,2,75.6
2921,The Silken Court,Nerub-ar Palace,4,Heroic,40,2.13,64.687,1.425,3,180.825,531,2024-09-17,2024-10-09,5,64.7
2902,Ulgrax the Devourer,Manaforge Omega,5,Mythic,1,98.58,98.58,1.0,1,57.0,57,2026-01-26,2026-01-26,1,98.6
2422,Kel'Thuzad,Sanctum of Domination,3,Normal,4,0.01,51.6125,1.0,1,254.75,522,2021-09-02,2021-09-02,1,51.6
2689,"The Vigilant Steward, Zskarn","Aberrus, the Shadowed Crucible",4,Heroic,4,3.2,11.487499999999999,0.0,0,276.0,326,2023-05-15,2023-05-15,1,11.5
2737,Volcoross,"Amirdrassil, the Dream's Hope",3,Normal,3,99.68,99.86333333333334,0.0,0,37.0,55,2023-11-15,2024-05-08,3,99.9
3132,Forgeweaver Araz,Manaforge Omega,4,Heroic,9,1.37,30.716666666666665,1.7777777777777777,2,368.1111111111111,514,2025-08-18,2025-08-31,2,30.7
2919,Broodtwister Ovi'nax,Nerub-ar Palace,3,Normal,1,99.69,99.69,0.0,0,48.0,48,2024-09-22,2024-09-22,1,99.7
2402,Sun King's Salvation,Castle Nathria,5,Mythic,44,27.48,56.71204545454545,0.0,0,153.38636363636363,313,2021-03-01,2021-03-31,4,56.7
2430,Painsmith Raznal,Sanctum of Domination,5,Mythic,220,5.57,53.89795454545454,2.036363636363636,3,216.1,469,2021-10-06,2021-11-01,8,53.9
3014,One-Armed Bandit,Liberation of Undermine,4,Heroic,17,0.65,60.89352941176471,1.0588235294117647,2,153.41176470588235,369,2025-03-10,2025-07-06,4,60.9
2412,The Council of Blood,Castle Nathria,4,Heroic,3,68.01,89.21,1.6666666666666667,3,150.0,408,2021-03-14,2021-03-28,2,89.2
3011,Rik Reverb,Liberation of Undermine,5,Mythic,51,4.14,44.620980392156866,1.4313725490196079,2,204.2549019607843,393,2025-03-31,2025-05-07,7,44.6
2592,"Sennarth, The Cold Breath",Vault of the Incarnates,5,Mythic,52,4.21,50.23288461538462,1.3269230769230769,2,252.65384615384616,496,2023-01-16,2023-03-08,7,50.2
2435,Sylvanas Windrunner,Sanctum of Domination,4,Heroic,24,49.92,71.95833333333333,2.375,3,502.6666666666667,792,2021-08-04,2022-08-15,6,72.0
2542,"Skolex, the Insatiable Ravener",Sepulcher of the First Ones,4,Heroic,10,30.42,58.326,0.0,0,151.9,262,2022-03-02,2022-04-06,3,58.3
2728,Council of Dreams,"Amirdrassil, the Dream's Hope",4,Heroic,5,28.24,52.754000000000005,0.0,0,141.0,255,2023-11-20,2023-12-10,3,52.8
2432,Remnant of Ner'zhul,Sanctum of Domination,5,Mythic,66,2.44,46.596818181818186,2.878787878787879,4,199.6060606060606,375,2021-08-30,2021-09-29,6,46.6
3014,One-Armed Bandit,Liberation of Undermine,3,Normal,2,3.52,51.175,1.5,2,229.0,393,2025-03-23,2025-05-04,2,51.2
2918,Rasha'nan,Nerub-ar Palace,4,Heroic,7,10.14,39.43714285714286,0.0,0,156.14285714285714,432,2024-09-18,2024-11-24,4,39.4
3010,Cauldron of Carnage,Liberation of Undermine,5,Mythic,28,2.41,48.40357142857143,1.2142857142857142,2,234.89285714285714,484,2025-03-24,2025-04-30,5,48.4
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",3,Normal,21,3.31,36.14714285714287,2.5714285714285716,3,276.6666666666667,508,2023-05-10,2024-05-01,6,36.1
3130,Soulbinder Naazindhri,Manaforge Omega,5,Mythic,9,2.03,34.19888888888889,0.0,0,313.55555555555554,485,2025-08-25,2025-10-01,3,34.2
3177,Vorasius,VS / DR / MQD,5,Mythic,13,4.18,33.878461538461536,0.0,0,285.0,383,2026-04-06,2026-04-06,1,33.9
2587,Eranog,Vault of the Incarnates,5,Mythic,6,12.39,41.385,1.1666666666666667,2,147.5,244,2022-12-28,2023-02-01,2,41.4
2590,The Primal Council,Vault of the Incarnates,4,Heroic,5,1.21,28.862000000000002,0.0,0,218.8,381,2022-12-19,2024-04-24,2,28.9
2918,Rasha'nan,Nerub-ar Palace,5,Mythic,57,4.53,32.01473684210526,0.0,0,167.43859649122808,336,2024-10-14,2024-12-29,8,32.0
2605,Kurog Grimtotem,Vault of the Incarnates,3,Normal,7,0.11,45.26285714285715,1.4285714285714286,2,236.28571428571428,610,2022-12-18,2022-12-21,2,45.3
2429,The Nine,Sanctum of Domination,3,Normal,5,7.33,39.872,2.0,2,249.8,312,2021-07-07,2021-09-02,3,39.9
3134,Nexus-King Salhadaar,Manaforge Omega,5,Mythic,365,0.86,61.56235616438356,1.5561643835616439,3,153.8849315068493,493,2025-10-20,2026-01-26,7,61.6
2543,Lords of Dread,Sepulcher of the First Ones,3,Normal,6,10.46,49.18666666666667,0.0,0,245.66666666666666,373,2022-03-13,2022-03-23,2,49.2
2418,Huntsman Altimor,Castle Nathria,5,Mythic,28,1.0,31.940714285714282,2.5357142857142856,4,206.39285714285714,356,2021-02-03,2021-03-24,5,31.9
2383,Hungering Destroyer,Castle Nathria,4,Heroic,12,0.13,33.66916666666666,0.0,0,220.08333333333334,341,2021-02-07,2021-04-04,5,33.7
2820,Gnarlroot,"Amirdrassil, the Dream's Hope",4,Heroic,1,20.66,20.66,1.0,1,227.0,227,2024-01-07,2024-01-07,1,20.7
2635,"Dathea, Ascended",Vault of the Incarnates,4,Heroic,15,12.84,36.836666666666666,0.0,0,224.93333333333334,382,2022-12-19,2023-01-22,4,36.8
2786,"Tindral Sageswift, Seer of the Flame","Amirdrassil, the Dream's Hope",5,Mythic,2,94.6,97.3,1.0,1,28.0,28,2024-03-04,2024-03-04,1,97.3
2731,"Larodar, Keeper of the Flame","Amirdrassil, the Dream's Hope",4,Heroic,17,0.57,40.281176470588235,1.411764705882353,2,232.58823529411765,415,2023-11-20,2024-01-07,4,40.3
2605,Kurog Grimtotem,Vault of the Incarnates,4,Heroic,5,7.89,43.184,1.2,2,203.0,330,2022-12-26,2023-01-22,3,43.2
2682,Assault of the Zaqali,"Aberrus, the Shadowed Crucible",4,Heroic,1,29.79,29.79,1.0,1,121.0,121,2023-05-17,2023-05-17,1,29.8
3131,Loom'ithar,Manaforge Omega,5,Mythic,54,0.19,56.92444444444445,1.3333333333333333,2,216.77777777777777,420,2025-09-01,2025-10-08,8,56.9
3122,The Soul Hunters,Manaforge Omega,5,Mythic,81,0.96,63.46135802469137,1.0,1,148.93827160493828,432,2025-09-29,2025-10-20,6,63.5
2399,Sludgefist,Castle Nathria,3,Normal,2,1.42,17.605,1.0,1,233.0,294,2021-02-07,2021-03-25,2,17.6
2683,Magmorax,"Aberrus, the Shadowed Crucible",3,Normal,2,99.39,99.575,0.0,0,43.0,53,2023-05-10,2023-05-10,1,99.6
2902,Ulgrax the Devourer,Nerub-ar Palace,3,Normal,1,99.95,99.95,1.0,1,38.0,38,2024-09-22,2024-09-22,1,100.0
3122,The Soul Hunters,Manaforge Omega,4,Heroic,2,47.5,57.57,1.0,1,203.5,250,2025-08-18,2025-08-31,2,57.6
2737,Volcoross,"Amirdrassil, the Dream's Hope",5,Mythic,7,12.71,36.63,0.0,0,171.71428571428572,265,2023-12-11,2024-05-13,5,36.6
2921,The Silken Court,Nerub-ar Palace,3,Normal,18,21.22,48.75944444444444,1.3888888888888888,2,168.27777777777777,298,2024-09-11,2024-09-29,5,48.8
2920,Nexus-Princess Ky'veza,Nerub-ar Palace,5,Mythic,233,1.41,66.39111587982832,1.1030042918454936,2,124.0901287553648,406,2024-11-25,2024-12-16,7,66.4
2430,Painsmith Raznal,Sanctum of Domination,3,Normal,7,4.17,41.392857142857146,2.4285714285714284,3,256.2857142857143,379,2021-07-07,2021-08-08,2,41.4
2553,Artificer Xy'mox,Sepulcher of the First Ones,4,Heroic,8,12.59,57.61625,1.875,2,175.5,424,2022-03-14,2022-04-13,2,57.6
2614,Broodkeeper Diurna,Vault of the Incarnates,5,Mythic,96,3.79,65.10531250000001,1.2604166666666667,2,220.20833333333334,574,2023-02-20,2023-04-19,6,65.1
2433,The Eye of the Jailer,Sanctum of Domination,5,Mythic,30,0.64,52.417666666666676,1.0,1,242.7,520,2021-08-16,2021-09-22,7,52.4
2786,"Tindral Sageswift, Seer of the Flame","Amirdrassil, the Dream's Hope",3,Normal,1,4.26,4.26,3.0,3,400.0,400,2023-11-15,2023-11-15,1,4.3
3306,"Chimaerus, the Undreamt God",VS / DR / MQD,5,Mythic,11,55.5,69.01636363636364,1.7272727272727273,2,169.8181818181818,255,2026-04-08,2026-04-08,1,69.0
2786,"Tindral Sageswift, Seer of the Flame","Amirdrassil, the Dream's Hope",4,Heroic,17,0.07,47.5035294117647,1.7647058823529411,3,202.23529411764707,405,2023-11-27,2024-05-29,7,47.5
3178,Vaelgor & Ezzorak,VS / DR / MQD,4,Heroic,11,0.32,51.622727272727275,1.0909090909090908,2,260.8181818181818,570,2026-03-23,2026-03-25,2,51.6
2682,Assault of the Zaqali,"Aberrus, the Shadowed Crucible",5,Mythic,5,6.52,18.674,1.8,2,302.4,344,2023-05-31,2023-07-05,4,18.7
2680,"Rashok, the Elder","Aberrus, the Shadowed Crucible",3,Normal,1,5.61,5.61,1.0,1,263.0,263,2023-05-28,2023-05-28,1,5.6
3135,"Dimensius, the All-Devouring",Manaforge Omega,5,Mythic,458,0.0,41.892227074235805,1.4170305676855894,3,168.44759825327512,527,2025-11-17,2026-02-02,15,41.9
2917,The Bloodbound Horror,Nerub-ar Palace,4,Heroic,11,12.52,43.46545454545455,0.0,0,213.1818181818182,362,2024-09-16,2024-10-13,5,43.5
2684,Echo of Neltharion,"Aberrus, the Shadowed Crucible",4,Heroic,14,1.14,41.14785714285715,1.9285714285714286,3,205.0,336,2023-05-17,2024-06-12,5,41.1
2383,Hungering Destroyer,Castle Nathria,5,Mythic,44,27.76,57.48409090909092,0.0,0,214.70454545454547,393,2021-02-03,2021-04-05,5,57.5
2728,Council of Dreams,"Amirdrassil, the Dream's Hope",5,Mythic,41,0.16,52.57878048780488,0.0,0,181.97560975609755,447,2023-12-11,2024-05-13,7,52.6
2592,"Sennarth, The Cold Breath",Vault of the Incarnates,4,Heroic,2,1.11,22.31,1.5,2,336.0,412,2022-12-19,2022-12-19,1,22.3
2607,Raszageth the Storm-Eater,Vault of the Incarnates,5,Mythic,316,0.01,64.80743670886078,1.2848101265822784,3,246.12974683544303,803,2023-03-13,2023-04-25,13,64.8
3176,Imperator Averzian,VS / DR / MQD,4,Heroic,6,2.34,19.68,0.0,0,316.1666666666667,424,2026-03-18,2026-03-18,1,19.7
2433,The Eye of the Jailer,Sanctum of Domination,3,Normal,2,12.76,55.59,1.0,1,136.5,227,2021-07-07,2021-08-08,2,55.6
2684,Echo of Neltharion,"Aberrus, the Shadowed Crucible",3,Normal,4,20.74,47.5325,1.75,3,175.0,291,2023-05-10,2023-05-28,3,47.5
2917,The Bloodbound Horror,Nerub-ar Palace,5,Mythic,23,3.69,46.95434782608696,0.0,0,167.17391304347825,298,2024-10-07,2024-11-06,6,47.0
2543,Lords of Dread,Sepulcher of the First Ones,4,Heroic,13,11.54,43.54,0.0,0,270.84615384615387,465,2022-03-28,2022-09-12,4,43.5
2687,The Amalgamation Chamber,"Aberrus, the Shadowed Crucible",5,Mythic,24,7.27,48.93416666666667,1.5,2,176.16666666666666,382,2023-05-29,2024-05-06,7,48.9
2434,Soulrender Dormazain,Sanctum of Domination,4,Heroic,12,3.87,27.959999999999997,0.0,0,325.25,491,2021-07-14,2021-07-28,3,28.0
2918,Rasha'nan,Nerub-ar Palace,3,Normal,6,23.35,53.86833333333334,0.0,0,36.0,85,2024-09-11,2024-11-03,4,53.9
3043,Lord Incendius,Blackrock Depths,4,Heroic,15,8.63,34.114666666666665,0.0,0,218.93333333333334,342,2024-10-27,2024-10-27,1,34.1
2824,Smolderon,"Amirdrassil, the Dream's Hope",4,Heroic,47,0.08,46.111702127659576,1.446808510638298,2,200.89361702127658,427,2023-11-20,2023-11-27,4,46.1
3045,General Angerforge,Blackrock Depths,4,Heroic,4,100.0,100.0,0.0,0,158.0,287,2024-10-27,2024-10-27,1,100.0
2902,Ulgrax the Devourer,Nerub-ar Palace,4,Heroic,1,32.94,32.94,1.0,1,267.0,267,2024-09-11,2024-09-11,1,32.9
2406,Lady Inerva Darkvein,Castle Nathria,5,Mythic,121,0.29,36.63495867768595,0.0,0,221.48760330578511,366,2021-03-03,2021-04-05,6,36.6
2432,Remnant of Ner'zhul,Sanctum of Domination,3,Normal,1,9.79,9.79,4.0,4,291.0,291,2021-08-08,2021-08-08,1,9.8
3180,Lightblinded Vanguard,VS / DR / MQD,4,Heroic,1,5.79,5.79,0.0,0,281.0,281,2026-03-30,2026-03-30,1,5.8
3015,"Mug'Zee, Heads of Security",Liberation of Undermine,3,Normal,5,1.37,60.918000000000006,1.4,3,143.8,338,2025-03-05,2025-03-23,3,60.9
3013,Sprocketmonger Lockenstock,Liberation of Undermine,3,Normal,1,2.95,2.95,1.0,1,357.0,357,2025-03-09,2025-03-09,1,3.0
3048,The Seven,Blackrock Depths,4,Heroic,6,48.5,58.22833333333333,0.0,0,162.33333333333334,200,2024-10-27,2024-10-27,1,58.2
2423,The Tarragrue,Sanctum of Domination,5,Mythic,6,0.06,18.131666666666664,1.5,2,275.3333333333333,362,2021-08-16,2021-09-22,4,18.1
2680,"Rashok, the Elder","Aberrus, the Shadowed Crucible",4,Heroic,2,48.06,57.56,1.0,1,93.0,109,2023-05-17,2023-05-24,2,57.6
2406,Lady Inerva Darkvein,Castle Nathria,3,Normal,2,37.58,68.60499999999999,0.0,0,167.0,254,2021-01-31,2021-01-31,1,68.6
2432,Remnant of Ner'zhul,Sanctum of Domination,4,Heroic,24,11.78,38.63291666666667,3.2083333333333335,4,169.875,323,2021-07-12,2022-08-31,6,38.6
3176,Imperator Averzian,VS / DR / MQD,5,Mythic,8,0.01,45.730000000000004,0.0,0,212.5,441,2026-04-06,2026-04-13,2,45.7
2431,Fatescribe Roh-Kalo,Sanctum of Domination,3,Normal,2,10.93,13.155000000000001,1.0,1,416.0,472,2021-08-08,2021-08-29,2,13.2
2682,Assault of the Zaqali,"Aberrus, the Shadowed Crucible",3,Normal,1,21.64,21.64,2.0,2,244.0,244,2023-05-28,2023-05-28,1,21.6
2540,"Dausegne, the Fallen Oracle",Sepulcher of the First Ones,5,Mythic,47,0.04,45.13744680851064,0.0,0,214.25531914893617,390,2022-04-20,2022-05-11,3,45.1
3016,Chrome King Gallywix,Liberation of Undermine,5,Mythic,115,5.04,71.98721739130436,1.008695652173913,2,151.22608695652173,452,2025-07-07,2025-07-16,4,72.0
2430,Painsmith Raznal,Sanctum of Domination,4,Heroic,33,5.35,44.40454545454545,2.121212121212121,3,238.3939393939394,420,2021-07-19,2021-09-12,4,44.4
2693,The Forgotten Experiments,"Aberrus, the Shadowed Crucible",4,Heroic,1,55.38,55.38,3.0,3,276.0,276,2023-05-15,2023-05-15,1,55.4
2405,Artificer Xy'mox,Castle Nathria,5,Mythic,124,0.47,45.15870967741936,2.7338709677419355,3,218.08064516129033,423,2021-02-17,2021-03-31,7,45.2
2917,The Bloodbound Horror,Nerub-ar Palace,3,Normal,7,14.1,72.76714285714286,0.0,0,94.85714285714286,248,2024-09-11,2024-11-03,4,72.8
2677,Fyrakk the Blazing,"Amirdrassil, the Dream's Hope",4,Heroic,36,5.09,48.124999999999986,2.0277777777777777,3,268.1111111111111,527,2023-11-27,2024-06-19,7,48.1
2546,Anduin Wrynn,Sepulcher of the First Ones,4,Heroic,41,6.95,67.62853658536585,1.3902439024390243,3,197.0487804878049,542,2022-03-21,2022-08-17,5,67.6
2402,Sun King's Salvation,Castle Nathria,4,Heroic,7,42.79,64.78428571428572,0.0,0,289.85714285714283,434,2021-02-14,2021-02-28,3,64.8
3046,Golem Lord Argelmach,Blackrock Depths,3,Normal,2,0.01,0.01,0.0,0,167.0,233,2024-10-23,2024-10-23,1,0.0
2405,Artificer Xy'mox,Castle Nathria,4,Heroic,19,0.02,29.054736842105267,2.5789473684210527,3,248.73684210526315,482,2021-02-07,2021-04-04,6,29.1
3044,Bael'Gar,Blackrock Depths,4,Heroic,1,70.35,70.35,0.0,0,114.0,114,2024-10-27,2024-10-27,1,70.4
2921,The Silken Court,Nerub-ar Palace,5,Mythic,313,7.84,77.26629392971246,1.2715654952076678,3,127.9520766773163,445,2024-12-16,2025-01-29,9,77.3
2398,Shriekwing,Castle Nathria,4,Heroic,4,93.37,97.025,1.0,1,59.0,97,2021-02-14,2021-03-21,3,97.0
