encounter_id,boss_name,zone_name,difficulty,difficulty_label,raid_night_date,cumulative_kills
2418,Huntsman Altimor,Castle Nathria,3,Normal,2021-01-31,1
2383,Hungering Destroyer,Castle Nathria,3,Normal,2021-01-31,2
2405,Artificer Xy'mox,Castle Nathria,3,Normal,2021-01-31,3
2402,Sun King's Salvation,Castle Nathria,3,Normal,2021-01-31,4
2412,The Council of Blood,Castle Nathria,3,Normal,2021-01-31,5
2406,Lady Inerva Darkvein,Castle Nathria,3,Normal,2021-01-31,6
2417,Stone Legion Generals,Castle Nathria,3,Normal,2021-02-07,7
2407,Sire Denathrius,Castle Nathria,3,Normal,2021-02-07,8
2399,Sludgefist,Castle Nathria,3,Normal,2021-02-07,9
2398,Shriekwing,Castle Nathria,3,Normal,2021-02-07,10
1094,Malygos,Castle Nathria,3,Normal,2021-03-25,11
2433,The Eye of the Jailer,Sanctum of Domination,3,Normal,2021-07-07,12
2432,Remnant of Ner'zhul,Sanctum of Domination,3,Normal,2021-07-07,13
2423,The Tarragrue,Sanctum of Domination,3,Normal,2021-07-07,14
2434,Soulrender Dormazain,Sanctum of Domination,3,Normal,2021-07-07,15
2429,The Nine,Sanctum of Domination,3,Normal,2021-07-07,16
2422,Kel'Thuzad,Sanctum of Domination,3,Normal,2021-08-15,17
2431,Fatescribe Roh-Kalo,Sanctum of Domination,3,Normal,2021-08-15,18
2435,Sylvanas Windrunner,Sanctum of Domination,3,Normal,2021-08-15,19
2430,Painsmith Raznal,Sanctum of Domination,3,Normal,2021-08-15,20
2436,Guardian of the First Ones,Sanctum of Domination,3,Normal,2021-08-15,21
2540,"Dausegne, the Fallen Oracle",Sepulcher of the First Ones,3,Normal,2022-03-06,22
2544,Prototype Pantheon,Sepulcher of the First Ones,3,Normal,2022-03-06,23
2542,"Skolex, the Insatiable Ravener",Sepulcher of the First Ones,3,Normal,2022-03-06,24
2512,Vigilant Guardian,Sepulcher of the First Ones,3,Normal,2022-03-06,25
2553,Artificer Xy'mox,Sepulcher of the First Ones,3,Normal,2022-03-06,26
2543,Lords of Dread,Sepulcher of the First Ones,3,Normal,2022-03-13,27
2549,Rygelon,Sepulcher of the First Ones,3,Normal,2022-03-30,28
2546,Anduin Wrynn,Sepulcher of the First Ones,3,Normal,2022-03-30,29
2529,Halondrus the Reclaimer,Sepulcher of the First Ones,3,Normal,2022-03-30,30
2537,The Jailer,Sepulcher of the First Ones,3,Normal,2022-03-30,31
2539,"Lihuvim, Principal Architect",Sepulcher of the First Ones,3,Normal,2022-03-30,32
2607,Raszageth the Storm-Eater,Vault of the Incarnates,3,Normal,2023-01-01,33
2688,"Kazzara, the Hellforged","Aberrus, the Shadowed Crucible",3,Normal,2023-05-22,34
2687,The Amalgamation Chamber,"Aberrus, the Shadowed Crucible",3,Normal,2023-05-22,35
2693,The Forgotten Experiments,"Aberrus, the Shadowed Crucible",3,Normal,2023-05-22,36
2682,Assault of the Zaqali,"Aberrus, the Shadowed Crucible",3,Normal,2023-05-22,37
2689,"The Vigilant Steward, Zskarn","Aberrus, the Shadowed Crucible",3,Normal,2023-05-22,38
2684,Echo of Neltharion,"Aberrus, the Shadowed Crucible",3,Normal,2023-05-22,39
2683,Magmorax,"Aberrus, the Shadowed Crucible",3,Normal,2023-05-22,40
2680,"Rashok, the Elder","Aberrus, the Shadowed Crucible",3,Normal,2023-05-22,41
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",3,Normal,2023-05-22,42
2709,Igira the Cruel,"Amirdrassil, the Dream's Hope",3,Normal,2023-12-10,43
2731,"Larodar, Keeper of the Flame","Amirdrassil, the Dream's Hope",3,Normal,2023-12-10,44
2824,Smolderon,"Amirdrassil, the Dream's Hope",3,Normal,2023-12-10,45
2708,"Nymue, Weaver of the Cycle","Amirdrassil, the Dream's Hope",3,Normal,2023-12-10,46
2737,Volcoross,"Amirdrassil, the Dream's Hope",3,Normal,2023-12-10,47
2820,Gnarlroot,"Amirdrassil, the Dream's Hope",3,Normal,2023-12-10,48
2786,"Tindral Sageswift, Seer of the Flame","Amirdrassil, the Dream's Hope",3,Normal,2023-12-10,49
2728,Council of Dreams,"Amirdrassil, the Dream's Hope",3,Normal,2023-12-10,50
2677,Fyrakk the Blazing,"Amirdrassil, the Dream's Hope",3,Normal,2023-12-10,51
2592,"Sennarth, The Cold Breath",Vault of the Incarnates,3,Normal,2024-04-29,52
2639,Terros,Vault of the Incarnates,3,Normal,2024-04-29,53
2605,Kurog Grimtotem,Vault of the Incarnates,3,Normal,2024-04-29,54
2635,"Dathea, Ascended",Vault of the Incarnates,3,Normal,2024-04-29,55
2587,Eranog,Vault of the Incarnates,3,Normal,2024-04-29,56
2614,Broodkeeper Diurna,Vault of the Incarnates,3,Normal,2024-04-29,57
2590,The Primal Council,Vault of the Incarnates,3,Normal,2024-04-29,58
2902,Ulgrax the Devourer,Nerub-ar Palace,3,Normal,2024-09-29,59
2918,Rasha'nan,Nerub-ar Palace,3,Normal,2024-09-29,60
2898,"Sikran, Captain of the Sureki",Nerub-ar Palace,3,Normal,2024-09-29,61
2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,2024-09-29,62
2919,Broodtwister Ovi'nax,Nerub-ar Palace,3,Normal,2024-09-29,63
2917,The Bloodbound Horror,Nerub-ar Palace,3,Normal,2024-09-29,64
2922,Queen Ansurek,Nerub-ar Palace,3,Normal,2024-09-29,65
2921,The Silken Court,Nerub-ar Palace,3,Normal,2024-09-29,66
3012,Stix Bunkjunker,Liberation of Undermine,3,Normal,2025-05-04,75
3011,Rik Reverb,Liberation of Undermine,3,Normal,2025-05-04,76
3010,Cauldron of Carnage,Liberation of Undermine,3,Normal,2025-05-04,77
3016,Chrome King Gallywix,Liberation of Undermine,3,Normal,2025-05-04,78
3015,"Mug'Zee, Heads of Security",Liberation of Undermine,3,Normal,2025-05-04,79
3009,Vexie and the Geargrinders,Liberation of Undermine,3,Normal,2025-05-04,80
3013,Sprocketmonger Lockenstock,Liberation of Undermine,3,Normal,2025-05-04,81
3014,One-Armed Bandit,Liberation of Undermine,3,Normal,2025-05-04,82
3132,Forgeweaver Araz,Manaforge Omega,3,Normal,2025-11-23,83
3130,Soulbinder Naazindhri,Manaforge Omega,3,Normal,2025-11-23,84
3134,Nexus-King Salhadaar,Manaforge Omega,3,Normal,2025-11-23,85
3122,The Soul Hunters,Manaforge Omega,3,Normal,2025-11-23,86
3131,Loom'ithar,Manaforge Omega,3,Normal,2025-11-23,87
3129,Plexus Sentinel,Manaforge Omega,3,Normal,2025-11-23,88
3135,"Dimensius, the All-Devouring",Manaforge Omega,3,Normal,2025-11-23,89
3133,Fractillus,Manaforge Omega,3,Normal,2025-11-23,90
3177,Vorasius,VS / DR / MQD,3,Normal,2026-03-25,91
3181,Crown of the Cosmos,VS / DR / MQD,3,Normal,2026-03-25,92
3179,Fallen-King Salhadaar,VS / DR / MQD,3,Normal,2026-03-25,93
3178,Vaelgor & Ezzorak,VS / DR / MQD,3,Normal,2026-03-25,94
3176,Imperator Averzian,VS / DR / MQD,3,Normal,2026-03-25,95
3180,Lightblinded Vanguard,VS / DR / MQD,3,Normal,2026-03-25,96
3306,"Chimaerus, the Undreamt God",VS / DR / MQD,3,Normal,2026-03-25,97
3183,Midnight Falls,VS / DR / MQD,3,Normal,2026-04-01,98
3182,"Belo'ren, Child of Al'ar",VS / DR / MQD,3,Normal,2026-04-01,99
2407,Sire Denathrius,Castle Nathria,4,Heroic,2021-02-17,1
2398,Shriekwing,Castle Nathria,4,Heroic,2021-02-17,2
2399,Sludgefist,Castle Nathria,4,Heroic,2021-02-17,3
2417,Stone Legion Generals,Castle Nathria,4,Heroic,2021-02-17,4
2405,Artificer Xy'mox,Castle Nathria,4,Heroic,2021-03-14,5
2402,Sun King's Salvation,Castle Nathria,4,Heroic,2021-03-14,6
2418,Huntsman Altimor,Castle Nathria,4,Heroic,2021-03-14,7
2406,Lady Inerva Darkvein,Castle Nathria,4,Heroic,2021-03-14,8
2383,Hungering Destroyer,Castle Nathria,4,Heroic,2021-03-14,9
2412,The Council of Blood,Castle Nathria,4,Heroic,2021-03-14,10
2435,Sylvanas Windrunner,Sanctum of Domination,4,Heroic,2021-09-13,11
2543,Lords of Dread,Sepulcher of the First Ones,4,Heroic,2022-04-06,12
2512,Vigilant Guardian,Sepulcher of the First Ones,4,Heroic,2022-04-06,13
2542,"Skolex, the Insatiable Ravener",Sepulcher of the First Ones,4,Heroic,2022-04-06,14
2546,Anduin Wrynn,Sepulcher of the First Ones,4,Heroic,2022-04-06,15
2539,"Lihuvim, Principal Architect",Sepulcher of the First Ones,4,Heroic,2022-04-06,16
2544,Prototype Pantheon,Sepulcher of the First Ones,4,Heroic,2022-04-06,17
2549,Rygelon,Sepulcher of the First Ones,4,Heroic,2022-04-06,18
2540,"Dausegne, the Fallen Oracle",Sepulcher of the First Ones,4,Heroic,2022-04-06,19
2553,Artificer Xy'mox,Sepulcher of the First Ones,4,Heroic,2022-04-06,20
2529,Halondrus the Reclaimer,Sepulcher of the First Ones,4,Heroic,2022-04-06,21
2537,The Jailer,Sepulcher of the First Ones,4,Heroic,2022-05-23,22
2422,Kel'Thuzad,Sanctum of Domination,4,Heroic,2022-08-31,23
2434,Soulrender Dormazain,Sanctum of Domination,4,Heroic,2022-08-31,24
2429,The Nine,Sanctum of Domination,4,Heroic,2022-08-31,25
2433,The Eye of the Jailer,Sanctum of Domination,4,Heroic,2022-08-31,26
2431,Fatescribe Roh-Kalo,Sanctum of Domination,4,Heroic,2022-08-31,27
2432,Remnant of Ner'zhul,Sanctum of Domination,4,Heroic,2022-08-31,28
2430,Painsmith Raznal,Sanctum of Domination,4,Heroic,2022-08-31,29
2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,2022-08-31,30
2423,The Tarragrue,Sanctum of Domination,4,Heroic,2022-08-31,31
2639,Terros,Vault of the Incarnates,4,Heroic,2023-01-04,32
2590,The Primal Council,Vault of the Incarnates,4,Heroic,2023-01-04,33
2592,"Sennarth, The Cold Breath",Vault of the Incarnates,4,Heroic,2023-01-04,34
2605,Kurog Grimtotem,Vault of the Incarnates,4,Heroic,2023-01-04,35
2635,"Dathea, Ascended",Vault of the Incarnates,4,Heroic,2023-01-04,36
2587,Eranog,Vault of the Incarnates,4,Heroic,2023-01-25,37
2689,"The Vigilant Steward, Zskarn","Aberrus, the Shadowed Crucible",4,Heroic,2023-05-24,38
2687,The Amalgamation Chamber,"Aberrus, the Shadowed Crucible",4,Heroic,2023-05-24,39
2683,Magmorax,"Aberrus, the Shadowed Crucible",4,Heroic,2023-05-24,40
2684,Echo of Neltharion,"Aberrus, the Shadowed Crucible",4,Heroic,2023-05-24,41
2680,"Rashok, the Elder","Aberrus, the Shadowed Crucible",4,Heroic,2023-05-24,42
2682,Assault of the Zaqali,"Aberrus, the Shadowed Crucible",4,Heroic,2023-05-24,43
2693,The Forgotten Experiments,"Aberrus, the Shadowed Crucible",4,Heroic,2023-05-24,44
2688,"Kazzara, the Hellforged","Aberrus, the Shadowed Crucible",4,Heroic,2023-05-24,45
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",4,Heroic,2023-05-29,46
2677,Fyrakk the Blazing,"Amirdrassil, the Dream's Hope",4,Heroic,2024-01-03,47
2824,Smolderon,"Amirdrassil, the Dream's Hope",4,Heroic,2024-01-03,48
2786,"Tindral Sageswift, Seer of the Flame","Amirdrassil, the Dream's Hope",4,Heroic,2024-01-03,49
2607,Raszageth the Storm-Eater,Vault of the Incarnates,4,Heroic,2024-04-29,50
2614,Broodkeeper Diurna,Vault of the Incarnates,4,Heroic,2024-04-29,51
2728,Council of Dreams,"Amirdrassil, the Dream's Hope",4,Heroic,2024-05-29,52
2709,Igira the Cruel,"Amirdrassil, the Dream's Hope",4,Heroic,2024-05-29,53
2820,Gnarlroot,"Amirdrassil, the Dream's Hope",4,Heroic,2024-05-29,54
2708,"Nymue, Weaver of the Cycle","Amirdrassil, the Dream's Hope",4,Heroic,2024-05-29,55
2737,Volcoross,"Amirdrassil, the Dream's Hope",4,Heroic,2024-05-29,56
2731,"Larodar, Keeper of the Flame","Amirdrassil, the Dream's Hope",4,Heroic,2024-05-29,57
2902,Ulgrax the Devourer,Nerub-ar Palace,4,Heroic,2024-11-24,63
2920,Nexus-Princess Ky'veza,Nerub-ar Palace,4,Heroic,2024-11-24,64
2921,The Silken Court,Nerub-ar Palace,4,Heroic,2024-11-24,65
2917,The Bloodbound Horror,Nerub-ar Palace,4,Heroic,2024-11-24,66
2918,Rasha'nan,Nerub-ar Palace,4,Heroic,2024-11-24,67
2898,"Sikran, Captain of the Sureki",Nerub-ar Palace,4,Heroic,2024-11-24,68
2919,Broodtwister Ovi'nax,Nerub-ar Palace,4,Heroic,2024-11-24,69
2922,Queen Ansurek,Nerub-ar Palace,4,Heroic,2024-12-29,70
3011,Rik Reverb,Liberation of Undermine,4,Heroic,2025-06-18,71
3013,Sprocketmonger Lockenstock,Liberation of Undermine,4,Heroic,2025-06-18,72
3015,"Mug'Zee, Heads of Security",Liberation of Undermine,4,Heroic,2025-06-18,73
3010,Cauldron of Carnage,Liberation of Undermine,4,Heroic,2025-06-18,74
3009,Vexie and the Geargrinders,Liberation of Undermine,4,Heroic,2025-06-18,75
3012,Stix Bunkjunker,Liberation of Undermine,4,Heroic,2025-06-18,76
3016,Chrome King Gallywix,Liberation of Undermine,4,Heroic,2025-06-18,77
3014,One-Armed Bandit,Liberation of Undermine,4,Heroic,2025-06-18,78
3134,Nexus-King Salhadaar,Manaforge Omega,4,Heroic,2025-08-27,79
3135,"Dimensius, the All-Devouring",Manaforge Omega,4,Heroic,2025-09-01,80
3133,Fractillus,Manaforge Omega,4,Heroic,2025-09-14,81
3132,Forgeweaver Araz,Manaforge Omega,4,Heroic,2025-09-14,82
3129,Plexus Sentinel,Manaforge Omega,4,Heroic,2025-09-14,83
3130,Soulbinder Naazindhri,Manaforge Omega,4,Heroic,2025-09-14,84
3131,Loom'ithar,Manaforge Omega,4,Heroic,2025-09-14,85
3122,The Soul Hunters,Manaforge Omega,4,Heroic,2025-09-14,86
3176,Imperator Averzian,VS / DR / MQD,4,Heroic,2026-04-01,87
3177,Vorasius,VS / DR / MQD,4,Heroic,2026-04-01,88
3179,Fallen-King Salhadaar,VS / DR / MQD,4,Heroic,2026-04-01,89
3181,Crown of the Cosmos,VS / DR / MQD,4,Heroic,2026-04-01,90
3178,Vaelgor & Ezzorak,VS / DR / MQD,4,Heroic,2026-04-01,91
3180,Lightblinded Vanguard,VS / DR / MQD,4,Heroic,2026-04-01,92
3182,"Belo'ren, Child of Al'ar",VS / DR / MQD,4,Heroic,2026-04-08,93
3306,"Chimaerus, the Undreamt God",VS / DR / MQD,4,Heroic,2026-04-15,94
2383,Hungering Destroyer,Castle Nathria,5,Mythic,2021-02-17,1
2418,Huntsman Altimor,Castle Nathria,5,Mythic,2021-02-17,2
2398,Shriekwing,Castle Nathria,5,Mythic,2021-02-17,3
2406,Lady Inerva Darkvein,Castle Nathria,5,Mythic,2021-03-15,4
2405,Artificer Xy'mox,Castle Nathria,5,Mythic,2021-03-24,5
2402,Sun King's Salvation,Castle Nathria,5,Mythic,2021-03-24,6
2429,The Nine,Sanctum of Domination,5,Mythic,2021-09-29,7
2434,Soulrender Dormazain,Sanctum of Domination,5,Mythic,2021-09-29,8
2433,The Eye of the Jailer,Sanctum of Domination,5,Mythic,2021-09-29,9
2423,The Tarragrue,Sanctum of Domination,5,Mythic,2021-09-29,10
2432,Remnant of Ner'zhul,Sanctum of Domination,5,Mythic,2021-09-29,11
2430,Painsmith Raznal,Sanctum of Domination,5,Mythic,2021-11-01,12
2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,2021-11-08,13
2431,Fatescribe Roh-Kalo,Sanctum of Domination,5,Mythic,2021-11-29,14
2435,Sylvanas Windrunner,Sanctum of Domination,5,Mythic,2022-02-22,15
2422,Kel'Thuzad,Sanctum of Domination,5,Mythic,2022-02-25,16
2542,"Skolex, the Insatiable Ravener",Sepulcher of the First Ones,5,Mythic,2022-04-20,17
2512,Vigilant Guardian,Sepulcher of the First Ones,5,Mythic,2022-04-20,18
2540,"Dausegne, the Fallen Oracle",Sepulcher of the First Ones,5,Mythic,2022-05-11,19
2553,Artificer Xy'mox,Sepulcher of the First Ones,5,Mythic,2022-05-16,20
2605,Kurog Grimtotem,Vault of the Incarnates,5,Mythic,2023-02-15,21
2639,Terros,Vault of the Incarnates,5,Mythic,2023-02-15,22
2592,"Sennarth, The Cold Breath",Vault of the Incarnates,5,Mythic,2023-02-15,23
2590,The Primal Council,Vault of the Incarnates,5,Mythic,2023-02-15,24
2587,Eranog,Vault of the Incarnates,5,Mythic,2023-02-15,25
2635,"Dathea, Ascended",Vault of the Incarnates,5,Mythic,2023-03-08,26
2614,Broodkeeper Diurna,Vault of the Incarnates,5,Mythic,2023-03-13,27
2607,Raszageth the Storm-Eater,Vault of the Incarnates,5,Mythic,2023-04-12,28
2687,The Amalgamation Chamber,"Aberrus, the Shadowed Crucible",5,Mythic,2023-05-29,29
2682,Assault of the Zaqali,"Aberrus, the Shadowed Crucible",5,Mythic,2023-05-31,30
2693,The Forgotten Experiments,"Aberrus, the Shadowed Crucible",5,Mythic,2023-07-10,31
2680,"Rashok, the Elder","Aberrus, the Shadowed Crucible",5,Mythic,2023-07-17,32
2689,"The Vigilant Steward, Zskarn","Aberrus, the Shadowed Crucible",5,Mythic,2023-07-24,33
2683,Magmorax,"Aberrus, the Shadowed Crucible",5,Mythic,2023-07-26,34
2684,Echo of Neltharion,"Aberrus, the Shadowed Crucible",5,Mythic,2023-08-16,35
2685,Scalecommander Sarkareth,"Aberrus, the Shadowed Crucible",5,Mythic,2023-10-11,36
2688,"Kazzara, the Hellforged","Aberrus, the Shadowed Crucible",5,Mythic,2023-10-18,37
2709,Igira the Cruel,"Amirdrassil, the Dream's Hope",5,Mythic,2024-01-03,38
2728,Council of Dreams,"Amirdrassil, the Dream's Hope",5,Mythic,2024-01-03,39
2820,Gnarlroot,"Amirdrassil, the Dream's Hope",5,Mythic,2024-01-03,40
2737,Volcoross,"Amirdrassil, the Dream's Hope",5,Mythic,2024-01-03,41
2708,"Nymue, Weaver of the Cycle","Amirdrassil, the Dream's Hope",5,Mythic,2024-01-08,42
2731,"Larodar, Keeper of the Flame","Amirdrassil, the Dream's Hope",5,Mythic,2024-01-22,43
2824,Smolderon,"Amirdrassil, the Dream's Hope",5,Mythic,2024-03-04,44
2898,"Sikran, Captain of the Sureki",Nerub-ar Palace,5,Mythic,2024-11-20,45
2918,Rasha'nan,Nerub-ar Palace,5,Mythic,2024-11-20,46
2917,The Bloodbound Horror,Nerub-ar Palace,5,Mythic,2024-11-20,47
2902,Ulgrax the Devourer,Nerub-ar Palace,5,Mythic,2024-11-20,48
2919,Broodtwister Ovi'nax,Nerub-ar Palace,5,Mythic,2024-11-25,49
2920,Nexus-Princess Ky'veza,Nerub-ar Palace,5,Mythic,2024-12-16,50
2921,The Silken Court,Nerub-ar Palace,5,Mythic,2025-01-29,51
3009,Vexie and the Geargrinders,Liberation of Undermine,5,Mythic,2025-03-24,52
3010,Cauldron of Carnage,Liberation of Undermine,5,Mythic,2025-03-24,53
3011,Rik Reverb,Liberation of Undermine,5,Mythic,2025-04-07,54
3012,Stix Bunkjunker,Liberation of Undermine,5,Mythic,2025-04-21,55
3013,Sprocketmonger Lockenstock,Liberation of Undermine,5,Mythic,2025-05-21,56
3014,One-Armed Bandit,Liberation of Undermine,5,Mythic,2025-06-02,57
3015,"Mug'Zee, Heads of Security",Liberation of Undermine,5,Mythic,2025-07-02,58
3016,Chrome King Gallywix,Liberation of Undermine,5,Mythic,2025-07-16,59
3131,Loom'ithar,Manaforge Omega,5,Mythic,2025-09-24,60
3130,Soulbinder Naazindhri,Manaforge Omega,5,Mythic,2025-09-24,61
3129,Plexus Sentinel,Manaforge Omega,5,Mythic,2025-09-24,62
3132,Forgeweaver Araz,Manaforge Omega,5,Mythic,2025-09-24,63
3133,Fractillus,Manaforge Omega,5,Mythic,2025-09-29,64
3122,The Soul Hunters,Manaforge Omega,5,Mythic,2025-10-13,65
3134,Nexus-King Salhadaar,Manaforge Omega,5,Mythic,2025-11-05,66
2922,Queen Ansurek,Manaforge Omega,5,Mythic,2026-01-26,67
3135,"Dimensius, the All-Devouring",Manaforge Omega,5,Mythic,2026-02-02,68
3177,Vorasius,VS / DR / MQD,5,Mythic,2026-04-15,69
3176,Imperator Averzian,VS / DR / MQD,5,Mythic,2026-04-15,70
3306,"Chimaerus, the Undreamt God",VS / DR / MQD,5,Mythic,2026-04-15,71
3179,Fallen-King Salhadaar,VS / DR / MQD,5,Mythic,2026-04-20,72
